wupin	ipa
beq thi2[51]	bəʔ tʰi51
beq tsoe deu	bəʔ ʦø døʏ
beq ziq2[51]	bəʔ ziəʔ51
beq23	bəʔ23
beq8	bəʔ23
beu2	bøʏ223
beu6	bøʏ231
bi bau tsy	bi bæ ʦɿ
bi bo deu	bi bo døʏ
bi de23	bi dᴇ23
bi deu phu ke2340	bi døʏ pʰu kᴇ234
bi deu23	bi døʏ23
bi fon don	bi foŋ doŋ
bi fon don230	bi foŋ doŋ23
bi fu	bi fu
bi gha	bi ɦɑ
bi gha tie	bi ɦɑ tiɪ
bi hou tie	bi xəu tiɪ
bi i zaon	bi i zɑ̃
bi kaeq	bi kaʔ
bi kaeq li230	bi kaʔ li23
bi kaeq tsy230	bi kaʔ ʦɿ23
bi lon nge tsin	bi loŋ ŋᴇ ʦin
bi mie	bi miɪ
bi mie au	bi miɪ æ
bi moe	bi mø
bi sian	bi siã
bi taon deu	bi tɑ̃ døʏ
bi tau pu230	bi tæ pu23
bi tseu	bi ʦøʏ
bi tshaq	bi ʦʰɑʔ
bi zau23	bi zæ23
bi zian	bi ziã
bi zon	bi zoŋ
bi2	bi223
bi231	bi231
bi6	bi231
biau khaq	biæ kʰɑʔ
biau2	biæ223
bie gniq	biɪ ȵiəʔ
bie gniq23	biɪ ȵiəʔ23
bie mau	biɪ mæ
bie taon23	biɪ tɑ̃23
bie tsy23	biɪ ʦɿ23
bie ve	biɪ vᴇ
bie2	biɪ223
bie6	biɪ231
bin chin tsy tie tse	bin ʨʰin ʦɿ tiɪ ʦᴇ
bin ci	bin ʨi
bin ci23	bin ʨi23
bin ciaq khou	bin ʨiɑʔ kʰəu
bin de23	bin dᴇ23
bin di	bin di
bin fon	bin foŋ
bin gho23	bin ɦo23
bin gniu	bin ȵy
bin hau tsy tie tse	bin xæ ʦɿ tiɪ ʦᴇ
bin jiau	bin ʥiæ
bin ka	bin kɑ
bin kheu iq	bin kʰøʏ iəʔ
bin khoq tsy	bin kʰoʔ ʦɿ
bin kou ko	bin kəu ko
bin kou li	bin kəu li
bin kou loq	bin kəu loʔ
bin kou23	bin kəu23
bin men	bin mən
bin oq	bin oʔ
bin pe23	bin pᴇ23
bin tin	bin tin
bin vaon23	bin vɑ̃23
bin zon tse	bin zoŋ ʦᴇ
bin2	bin223
bin223	bin223
bin231	bin231
bin231 hau tie tseq[52]10	bin231 xæ tiɪ ʦəʔ52
bin231 hau tseq[52]1	bin231 xæ ʦəʔ52
bin6	bin231
biq bo kan	biəʔ bo kã
biq bo zyu	biəʔ bo zʮ
biq bo2[51]	biəʔ bo51
biq chi	biəʔ ʨʰi
biq ciaq	biəʔ ʨiɑʔ
biq ciaq mo	biəʔ ʨiɑʔ mo
biq ie	biəʔ iɪ
biq lian2[51]	biəʔ liã51
biq liq hou tsie3420	biəʔ liəʔ xəu ʦiɪ342
biq mau2[51]	biəʔ mæ51
biq miau deu	biəʔ miæ døʏ
biq tsen	biəʔ ʦən
biq tshon	biəʔ ʦʰoŋ
biq tsie2[51]	biəʔ ʦiɪ51
biq zeq	biəʔ zəʔ
biq8	biəʔ23
bo chi le	bo ʨʰi lᴇ
bo er seu230	bo əl søʏ23
bo fen tie	bo fən tiɪ
bo gni tou	bo ȵi təu
bo kau lo zaon2340	bo kæ lo zɑ̃234
bo lan ve230	bo lã vᴇ23
bo nga tsy230	bo ŋɑ ʦɿ23
bo2	bo223
bo223	bo223
bo6	bo231
boe	bø
boe dau	bø dæ
boe hou	bø xəu
boe kaon tsy	bø kɑ̃ ʦɿ
boe lon kau	bø loŋ kæ
boe man man230	bø mã mã23
boe mie	bø miɪ
boe nga	bø ŋɑ
boe soe boe soe	bø sø bø sø
boe tie	bø tiɪ
boe tsheq chi	bø ʦʰəʔ ʨʰi
boe vaon	bø vɑ̃
boe vaon siau tsia2340	bø vɑ̃ siæ ʦiɑ234
boe zoe	bø zø
boe1	bø44
boe2	bø223
boe231	bø231
boe6	bø231
bon hau tshe	boŋ xæ ʦʰᴇ
bon sie ho	boŋ siɪ xo
bon sie ho230	boŋ siɪ xo23
