wupin	ipa
niu6	ny231
no din tsyu i	no din ʦʮ i
no don die	no doŋ diɪ
no feq din tsyu tsan	no fəʔ din ʦʮ ʦã
no keq[23]1	no kəʔ23
no li keq[23]10	no li kəʔ23
no li taeq[23]10	no li taʔ23
no phu len mau	no pʰu lən mæ
no taeq tie[23]10	no taʔ tiɪ23
no taeq[23]1	no taʔ23
no taon teq tsheq2340	no tɑ̃ təʔ ʦʰəʔ234
no2	no223
no6	no231
noe daon ci deu	nø dɑ̃ ʨi døʏ
noe ghou deu	nø ɦəu døʏ
noe gnin	nø ȵin
noe gnin ka tsy2340	nø ȵin kɑ ʦɿ234
noe gniq23	nø ȵiəʔ23
noe hou tie230	nø xəu tiɪ23
noe ka	nø kɑ
noe khaq	nø kʰɑʔ
noe ko tsy	nø ko ʦɿ
noe ko23	nø ko23
noe mie	nø miɪ
noe ng	nø ŋ
noe ng siau tsia2340	nø ŋ siæ ʦiɑ234
noe ng23	nø ŋ23
noe ngau ka	nø ŋæ kɑ
noe noe40	nø nø4
noe siau gnin230	nø siæ ȵin23
noe siau koe230	nø siæ kø23
noe the	nø tʰᴇ
noe tsau	nø ʦæ
noe wan deu	nø ɦuã døʏ
noe yon gnin	nø ɦioŋ ȵin
noe1	nø44
noe2	nø223
noe231	nø231
noe6	nø231
non min kon	noŋ min koŋ
non non	noŋ noŋ
non tshen	noŋ ʦʰən
non yeu tshaeq tsian[23]110	noŋ ɦiʏ ʦʰaʔ ʦiã23
non2	noŋ223
non6	noŋ231
noq8	noʔ23
nou	nəu
nou mi ve	nəu mi vᴇ
nou mi23	nəu mi23
nou1	nəu44
nou2	nəu223
nou3	nəu51
nou6	nəu231
o deu	o døʏ
o ion	o ioŋ
o la feq tsheq4440	o lɑ fəʔ ʦʰəʔ444
o sy40 toq[23] le gni23	o sɿ4 toʔ23 lᴇ ȵi23
o tsho	o ʦʰo
o tsy[52]3	o ʦɿ52
o1	o44
o3	o51
o44	o44
o5	o523
o51	o51
o52 die223	o52 diɪ223
oe kue tsy440	ø kuᴇ ʦɿ44
oe men	ø mən
oe sin ia440	ø sin iɑ44
oe siq shian	ø siəʔ ɕiã
oe soe	ø sø
oe the	ø tʰᴇ
oe tsyu40	ø ʦʮ4
oe zen	ø zən
oe1	ø44
oe3	ø51
oe5	ø523
on beq deu440	oŋ bəʔ døʏ44
on tshe	oŋ ʦʰᴇ
on tson	oŋ ʦoŋ
on tson40	oŋ ʦoŋ4
on1	oŋ44
on3	oŋ51
on5	oŋ523
oq keu tshen	oʔ køʏ ʦʰən
oq khaeq44	oʔ kʰaʔ44
oq la	oʔ lɑ
oq li shian	oʔ li ɕiã
oq li4[523]	oʔ li523
oq liq44	oʔ liəʔ44
oq mie 4[523]	oʔ miɪ523
oq seu	oʔ søʏ
oq sin	oʔ sin
oq sy tsou4[51]1	oʔ sɿ ʦəu51
oq tshoq	oʔ ʦʰoʔ
oq tsiq	oʔ ʦiəʔ
oq ye2[51]	oʔ ɦiɪ51
oq7	oʔ43
ou cin khue	əu ʨin kʰuᴇ
ou ciu	əu ʨy
ou ciu khoq	əu ʨy kʰoʔ
ou ciu sen440	əu ʨy sən44
ou daon40	əu dɑ̃4
ou deu40	əu døʏ4
ou ghou sy he	əu ɦəu sɿ xᴇ
ou gnieu[52]3	əu ȵiʏ52
ou jieu	əu ʥiʏ
ou khou40	əu kʰəu4
ou koq	əu koʔ
ou kueh ci	əu kuəʔ ʨi
ou lon	əu loŋ
ou lou ze zen	əu ləu zᴇ zən
ou me	əu mᴇ
ou mi ve	əu mi vᴇ
ou sin	əu sin
ou sou deu	əu səu døʏ
ou sou40	əu səu4
ou tsau	əu ʦæ
ou tsau cin lon4440	əu ʦæ ʨin loŋ444
ou tsy ou yan	əu ʦɿ əu ɦiã
ou yiq40	əu ɦiəʔ4
ou yun	əu ɦyn
ou zeq ng440	əu zəʔ ŋ44
ou zoq ngeu440	əu zoʔ ŋøʏ44
ou1	əu44
ou5	əu523
ou523	əu523
pa daon40	pɑ dɑ̃4
pa di the	pɑ di tʰᴇ
pa dou kheu5[23]2	pɑ dəu kʰøʏ23
pa dou zoe5[23]2	pɑ dəu zø23
pa er keu440	pɑ əl køʏ44
pa gnie	pɑ ȵiɪ
pa ka tsy	pɑ kɑ ʦɿ
pa lau tsy kaq	pɑ læ ʦɿ kɑʔ
pa m	pɑ m
pa m dau li	pɑ m dæ li
pa m dau li[52]340	pɑ m dæ li52
pa maon	pɑ mɑ̃
pa o ion	pɑ o ioŋ
pa pa40	pɑ pɑ4
pa the deu	pɑ tʰᴇ døʏ
pa the deu geq	pɑ tʰᴇ døʏ gəʔ
pa the deu keq[52]340	pɑ tʰᴇ døʏ kəʔ52
pa tshe	pɑ ʦʰᴇ
pa zeu	pɑ zøʏ
pa1	pɑ44
pa3	pɑ51
pa5	pɑ523
pa51 dou231	pɑ51 dəu231
pan ka	pã kɑ
pan ko	pã ko
pan ngan	pã ŋã
pan pan40	pã pã4
pan sa	pã sɑ
pan ten	pã tən
pan tshaq	pã ʦʰɑʔ
pan tsy	pã ʦɿ
pan1	pã44
pan44	pã44
pan5	pã523
pan52 tshaq[43]	pã52 ʦʰɑʔ43
pao po tsyu maon4440	? po ʦʮ mɑ̃444
paon the	pɑ̃ tʰᴇ
paon tshen	pɑ̃ ʦʰən
paon1	pɑ̃44
paon3	pɑ̃51
paq ciaq44	pɑʔ ʨiɑʔ44
paq gheq ho	pɑʔ ɦəʔ xo
paq ho san gniq	pɑʔ xo sã ȵiəʔ
paq hou tie4[23]0	pɑʔ xəu tiɪ23
paq ka sin	pɑʔ kɑ sin
paq ke jiun	pɑʔ kᴇ ʥyn
paq keq le tseu4420	pɑʔ kəʔ lᴇ ʦøʏ442
paq lin de4[23]0	pɑʔ lin dᴇ23
paq men sy se4[23]40	pɑʔ mən sɿ sᴇ23
paq paq	pɑʔ pɑʔ
paq po	pɑʔ po
paq po keq	pɑʔ po kəʔ
paq po keq5[523]	pɑʔ po kəʔ523
paq seq le keq	pɑʔ səʔ lᴇ kəʔ
paq tiq taeq440	pɑʔ tiəʔ taʔ44
paq tsa4[23]	pɑʔ ʦɑ23
paq yeu	pɑʔ ɦiʏ
paq yeu lou	pɑʔ ɦiʏ ləu
paq yiq tshaon	pɑʔ ɦiəʔ ʦʰɑ̃
paq yiq44	pɑʔ ɦiəʔ44
paq zyu5[523]	pɑʔ zʮ523
paq7	pɑʔ43
paq[43] bie tsy23	pɑʔ43 biɪ ʦɿ23
pau ciau tsy	pæ ʨiæ ʦɿ
pau cie	pæ ʨiɪ
pau deu	pæ døʏ
pau deu pu	pæ døʏ pu
pau ghoe	pæ ɦø
pau hou[52]1	pæ xəu52
pau ke deu	pæ kᴇ døʏ
pau ke deu[52]30	pæ kᴇ døʏ52
pau khau	pæ kʰæ
pau laon ghau	pæ lɑ̃ ɦæ
pau min	pæ min
pau ng mie	pæ ŋ miɪ
pau pau	pæ pæ
pau pautsy[52]30 gnioq gnioq tsy340	pæ ? ȵioʔ ȵioʔ ʦɿ34
pau saon	pæ sɑ̃
pau saon diau tsy	pæ sɑ̃ diæ ʦɿ
pau thaeq tshe	pæ tʰaʔ ʦʰᴇ
pau the we yan	pæ tʰᴇ ɦuᴇ ɦiã
pau tshe40	pæ ʦʰᴇ4
pau tsheq le	pæ ʦʰəʔ lᴇ
pau ve tsoh	pæ vᴇ ʦoʔ
pau1	pæ44
pau3	pæ51
pau4	pæ4
pau44	pæ44
pau5	pæ523
pau523	pæ523
pe	pᴇ
pe chie	pᴇ ʨʰiɪ
pe cieu	pᴇ ʨiʏ
pe gheu deu440	pᴇ ɦøʏ døʏ44
pe iau[52]1	pᴇ iæ52
pe iq pie	pᴇ iəʔ piɪ
pe kou	pᴇ kəu
pe lian tsiq kueq4440	pᴇ liã ʦiəʔ kuəʔ444
pe mie khon	pᴇ miɪ kʰoŋ
pe mo tsy	pᴇ mo ʦɿ
pe pau	pᴇ pæ
pe pe[52]3 loq zeq sy340	pᴇ pᴇ52 loʔ zəʔ sɿ34
pe piq[52]3	pᴇ piəʔ52
pe sau	pᴇ sæ
pe sau40	pᴇ sæ4
pe sian	pᴇ siã
pe sin40	pᴇ sin4
pe siq deu soe	pᴇ siəʔ døʏ sø
pe syu	pᴇ sʮ
pe tsen	pᴇ ʦən
pe tsho deu440	pᴇ ʦʰo døʏ44
pe tsiq deu tsy soe soe	pᴇ ʦiəʔ døʏ ʦɿ sø sø
pe tsy	pᴇ ʦɿ
pe vaon	pᴇ vɑ̃
pe ven	pᴇ vən
pe yeu	pᴇ ɦiʏ
pe zaon	pᴇ zɑ̃
pe1	pᴇ44
pe3	pᴇ51
pe44	pᴇ44
pe44 chie523	pᴇ44 ʨʰiɪ523
pe44 the nge[52]3	pᴇ44 tʰᴇ ŋᴇ52
pe5	pᴇ523
pe51	pᴇ51
pen baq	pən bɑʔ
pen die[52]3	pən diɪ52
pen ka	pən kɑ
pen san	pən sã
pen seq	pən səʔ
pen the	pən tʰᴇ
pen tseq[52]3	pən ʦəʔ52
pen tsoq li[52]30 hou seq40	pən ʦoʔ li52 xəu səʔ4
pen1	pən44
pen3	pən51
pen5	pən523
pen51	pən51
peq deu	pəʔ døʏ
peq don	pəʔ doŋ
peq in deu	pəʔ in døʏ
peq tau on	pəʔ tæ oŋ
peq43	pəʔ43
peq7	pəʔ43
peu3	pøʏ51
pha deu40 iq loq44	pʰɑ døʏ4 iəʔ loʔ44
pha feq zaq yon zan	pʰɑ fəʔ zɑʔ ɦioŋ zã
pha1	pʰɑ44
pha5	pʰɑ523
phan cian[52]3	pʰã ʨiã52
phan ghou	pʰã ɦəu
phan mo tsian	pʰã mo ʦiã
phan1	pʰã44
phan3	pʰã51
phan44	pʰã44
phan5	pʰã523
phaon chie cin	pʰɑ̃ ʨʰiɪ ʨin
phaon chie cin[52]30	pʰɑ̃ ʨʰiɪ ʨin52
phaon dou zan tsy	pʰɑ̃ dəu zã ʦɿ
phaon ha laon li	pʰɑ̃ xɑ lɑ̃ li
phaon sau mie	pʰɑ̃ sæ miɪ
phaon ue tsy	pʰɑ̃ uᴇ ʦɿ
phaon ue ue[52]30	pʰɑ̃ uᴇ uᴇ52
phaon1	pʰɑ̃44
phaon3	pʰɑ̃51
phaon5	pʰɑ̃523
phaon51	pʰɑ̃51
phaq ba jieu	pʰɑʔ bɑ ʥiʏ
phaq bi jieu	pʰɑʔ bi ʥiʏ
phaq de jieu	pʰɑʔ dᴇ ʥiʏ
phaq iu mau jieu	pʰɑʔ y mæ ʥiʏ
phaq mo phi	pʰɑʔ mo pʰi
phaq mo se	pʰɑʔ mo sᴇ
phaq moe5[51]	pʰɑʔ mø51
phaq phaq phu440	pʰɑʔ pʰɑʔ pʰu44
phaq phin phan jieu	pʰɑʔ pʰin pʰã ʥiʏ
phaq seu	pʰɑʔ søʏ
phaq tsy bu	pʰɑʔ ʦɿ bu
phaq7	pʰɑʔ43
phau don	pʰæ doŋ
phau tin	pʰæ tin
phau tsheq40	pʰæ ʦʰəʔ4
phau tsoq40	pʰæ ʦoʔ4
phau1	pʰæ44
phau5	pʰæ523
phau51 zoe223	pʰæ51 zø223
phe tshin40	pʰᴇ ʦʰin4
phe yaq	pʰᴇ ɦiɑʔ
phe1	pʰᴇ44
phe3	pʰᴇ51
phe44	pʰᴇ44
phe5	pʰᴇ523
phen shian	pʰən ɕiã
phen syu ghou	pʰən sʮ ɦəu
phen1	pʰən44
pheq7	pʰəʔ43
pheu3	pʰøʏ51
phi cie	pʰi ʨiɪ
phi cioe tsy[52]3	pʰi ʨiø ʦɿ52
phi faeq	pʰi faʔ
phi fon	pʰi foŋ
phi kou be440	pʰi kəu bᴇ44
phi kou deu440	pʰi kəu døʏ44
phi kou gheu deu	pʰi kəu ɦøʏ døʏ
phi kou40	pʰi kəu4
phi min syu	pʰi min sʮ
phi syu	pʰi sʮ
phi tsau cin440	pʰi ʦæ ʨin44
phi tsyu	pʰi ʦʮ
phi1	pʰi44
phi3	pʰi51
phi44	pʰi44
phi5	pʰi523
phi51	pʰi51
phiau baq	pʰiæ bɑʔ
phiau lian	pʰiæ liã
phiau tsan	pʰiæ ʦã
phiau tsy40	pʰiæ ʦɿ4
phiau1	pʰiæ44
phiau3	pʰiæ51
phiau5	pʰiæ523
phie nge	pʰiɪ ŋᴇ
phie san	pʰiɪ sã
phie tshen	pʰiɪ ʦʰən
phie tsy	pʰiɪ ʦɿ
phie1	pʰiɪ44
phie3	pʰiɪ51
phie44	pʰiɪ44
phie44 phie40	pʰiɪ44 pʰiɪ4
phie5	pʰiɪ523
phie523	pʰiɪ523
phin deu40	pʰin døʏ4
phin lin phan lan tshi44440	pʰin lin pʰã lã ʦʰi4444
phin saon taon	pʰin sɑ̃ tɑ̃
phin syu	pʰin sʮ
phin von	pʰin voŋ
phin1	pʰin44
phin3	pʰin51
phin5	pʰin523
phiq shiu taon tson4[23]40	pʰiəʔ ɕy tɑ̃ ʦoŋ23
phiq te5[523]	pʰiəʔ tᴇ523
phiq7	pʰiəʔ43
pho maq san	pʰo mɑʔ sã
pho ne we zin	pʰo nᴇ ɦuᴇ zin
pho5	pʰo523
phoe kuoe	pʰø kuø
phoe1	pʰø44
phoe5	pʰø523
phoh	pʰoʔ
phon3	pʰoŋ51
phoq gnioq44	pʰoʔ ȵioʔ44
phoq tsy	pʰoʔ ʦɿ
phoq zyu	pʰoʔ zʮ
phoq7	pʰoʔ43
phou3	pʰəu51
phu bi deu	pʰu bi døʏ
phu dou gnin ka	pʰu dəu ȵin kɑ
phu ghan ka	pʰu ɦã kɑ
phu ke	pʰu kᴇ
phu loq ghou	pʰu loʔ ɦəu
phu pau	pʰu pæ
phu pau tsian syu	pʰu pæ ʦiã sʮ
phu tsyu loq soq4440	pʰu ʦʮ loʔ soʔ444
phu1	pʰu44
phu3	pʰu51
phu44 zaon2223	pʰu44 zɑ̃2223
phu5	pʰu523
phu523	pʰu523
pi baq nge	pi bɑʔ ŋᴇ
pi faon	pi fɑ̃
pi koq[52]3	pi koʔ52
pi lon	pi loŋ
pi po tshan tsy4440	pi po ʦʰã ʦɿ444
pi po ue440	pi po uᴇ44
pi po40	pi po4
pi poq sen tsheq le	pi poʔ sən ʦʰəʔ lᴇ
pi poq soq we chi	pi poʔ soʔ ɦuᴇ ʨʰi
pi1	pi44
pi3	pi51
pi44	pi44
pi5	pi523
pi523	pi523
piau aeq tsia[52]30	piæ aʔ ʦiɑ52
piau di shion[52]30	piæ di ɕioŋ52
piau di[52]1	piæ di52
piau gho tie	piæ ɦo tiɪ
piau ghoe	piæ ɦø
piau kou	piæ kəu
piau me[52]1	piæ mᴇ52
piau shion di	piæ ɕioŋ di
piau shion[52]1	piæ ɕioŋ52
piau sin tsy	piæ sin ʦɿ
piau tsen fen	piæ ʦən fən
piau tsi me[52]30	piæ ʦi mᴇ52
piau tsia	piæ ʦiɑ
piau tsyu	piæ ʦʮ
piau1	piæ44
piau3	piæ51
piau4	piæ4
piau44	piæ44
piau7	piæ43
pie baq nge	piɪ bɑʔ ŋᴇ
pie bu	piɪ bu
pie bu[52]3	piɪ bu52
pie ci ka	piɪ ʨi kɑ
pie ci40	piɪ ʨi4
pie ciq	piɪ ʨiəʔ
pie deu	piɪ døʏ
pie deu[52]1	piɪ døʏ52
pie foh tsy	piɪ foʔ ʦɿ
pie foq[52]3	piɪ foʔ52
pie laon	piɪ lɑ̃
pie laon shian440	piɪ lɑ̃ ɕiã44
pie mau tson san	piɪ mæ ʦoŋ sã
pie men	piɪ mən
pie mo don	piɪ mo doŋ
pie ng40	piɪ ŋ4
pie paon	piɪ pɑ̃
pie paon40	piɪ pɑ̃4
pie pie laon440	piɪ piɪ lɑ̃44
pie shi faeq	piɪ ɕi faʔ
pie si40	piɪ si4
pie te	piɪ tᴇ
pie tshen	piɪ ʦʰən
pie tsie[52]3	piɪ ʦiɪ52
pie zau40	piɪ zæ4
pie1	piɪ44
pie3	piɪ51
pie44	piɪ44
pie5	piɪ523
pih hou	piəʔ xəu
pih seh	piəʔ səʔ
pih shi	piəʔ ɕi
pih tie	piəʔ tiɪ
pih tsaon	piəʔ ʦɑ̃
pih43	piəʔ43
pin ba40	pin bɑ4
pin ciq40	pin ʨiəʔ4
pin daon40	pin dɑ̃4
pin doe	pin dø
pin in ciq kueq4440	pin in ʨiəʔ kuəʔ444
pin in40	pin in4
pin ji lin	pin ʥi lin
pin kuoe	pin kuø
pin moe tie	pin mø tiɪ
pin saon	pin sɑ̃
pin siq kau	pin siəʔ kæ
pin te	pin tᴇ
pin tsoe	pin ʦø
pin1	pin44
pin3	pin51
pin44	pin44
pin5	pin523
piq ci pen	piəʔ ʨi pən
piq deu	piəʔ døʏ
piq don4[23]	piəʔ doŋ23
piq gniq	piəʔ ȵiəʔ
piq gniq khau syu	piəʔ ȵiəʔ kʰæ sʮ
piq hou tsy5[52]3	piəʔ xəu ʦɿ52
piq kan	piəʔ kã
piq kou4[23]	piəʔ kəu23
piq liq	piəʔ liəʔ
piq liq sy zeq4440	piəʔ liəʔ sɿ zəʔ444
piq lou so	piəʔ ləu so
piq lou so4[23]0	piəʔ ləu so23
piq lou tshen	piəʔ ləu ʦʰən
piq mau	piəʔ mæ
piq piq44 zin231	piəʔ piəʔ44 zin231
piq se	piəʔ sᴇ
piq seq44	piəʔ səʔ44
piq si	piəʔ si
piq ten	piəʔ tən
piq thau5[523]	piəʔ tʰæ523
piq thin5[51]	piəʔ tʰin51
piq tsy doe	piəʔ ʦɿ dø
piq waeq	piəʔ ɦuaʔ
piq zen	piəʔ zən
piq zen faon	piəʔ zən fɑ̃
piq zin5[51]	piəʔ zin51
piq7	piəʔ43
po ciq	po ʨiəʔ
po feq teq	po fəʔ təʔ
po ka	po kɑ
po ken[52]3	po kən52
po maon40	po mɑ̃4
po maq	po mɑʔ
po ng	po ŋ
po si[52]1	po si52
po siau sin[52]30	po siæ sin52
po syu	po sʮ
po tsiau	po ʦiæ
po1	po44
po3	po51
po5	po523
poe be tshiau440	pø bᴇ ʦʰiæ44
poe cin	pø ʨin
poe gho	pø ɦo
poe gniq	pø ȵiəʔ
poe gniq thie[52]30	pø ȵiəʔ tʰiɪ52
poe ia	pø iɑ
poe ia po	pø iɑ po
poe ia se kan	pø iɑ sᴇ kã
poe keq	pø kəʔ
poe keq[52]3	pø kəʔ52
poe poe seq gniq	pø pø səʔ ȵiəʔ
poe se	pø sᴇ
poe se iau440	pø sᴇ iæ44
poe sen peq ze	pø sən pəʔ zᴇ
poe shi40	pø ɕi4
poe tiau tsy440	pø tiæ ʦɿ44
poe tsoq40	pø ʦoʔ4
poe1	pø44
poe5	pø523
poh cin aeh	poʔ ʨin aʔ
poh kou	poʔ kəu
poh soe boe	poʔ sø bø
pon5	poŋ523
poq ciu keq	poʔ ʨy kəʔ
poq doe cin	poʔ dø ʨin
poq kaon tshen	poʔ kɑ̃ ʦʰən
poq keq	poʔ kəʔ
poq ko	poʔ ko
poq koq mau	poʔ koʔ mæ
poq koq we shian	poʔ koʔ ɦuᴇ ɕiã
poq mie	poʔ miɪ
poq ngeq cioq	poʔ ŋəʔ ʨioʔ
poq ngeq poe	poʔ ŋəʔ pø
poq ngoe5[523]	poʔ ŋø523
poq pau aeq	poʔ pæ aʔ
poq pau ci	poʔ pæ ʨi
poq seq	poʔ səʔ
poq sie kou he	poʔ siɪ kəu xᴇ
poq sie pe	poʔ siɪ pᴇ
poq sie tsoq 4[23]0	poʔ siɪ ʦoʔ23
poq so ng	poʔ so ŋ
poq the	poʔ tʰᴇ
poq tiau5[51]	poʔ tiæ51
poq tiq toq440	poʔ tiəʔ toʔ44
poq tsen kau	poʔ ʦən kæ
poq wan deu	poʔ ɦuã døʏ
poq zen	poʔ zən
poq zen tsan4[23]0	poʔ zən ʦã23
poq zoe	poʔ zø
poq zy ghou tsy	poʔ zɿ ɦəu ʦɿ
poq7	poʔ43
ppen di gnin[52]30	ppən di ȵin52
pu chi	pu ʨʰi
pu gha	pu ɦɑ
pu kau	pu kæ
pu laon seh	pu lɑ̃ səʔ
pu li bin	pu li bin
pu li tshaon	pu li ʦʰɑ̃
pu maeq	pu maʔ
pu se	pu sᴇ
pu shiuq	pu ɕyəʔ
pu tie	pu tiɪ
pu tshe40	pu ʦʰᴇ4
pu zen	pu zən
pu ziq pe	pu ziəʔ pᴇ
pu1	pu44
pu3	pu51
pu5	pu523
pu51	pu51
q zou pau thaeq	? zəu pæ tʰaʔ
sa di faon	sɑ di fɑ̃
sa gnin	sɑ ȵin
sa ho	sɑ xo
sa keq5[23] iq tsheq44	sɑ kəʔ23 iəʔ ʦʰəʔ44
sa keq[52]3	sɑ kəʔ52
sa keq[52]3 liq sen2[51]	sɑ kəʔ52 liəʔ sən51
sa lau[52]3	sɑ læ52
sa maon	sɑ mɑ̃
sa ng gnie	sɑ ŋ ȵiɪ
sa ng gniq	sɑ ŋ ȵiəʔ
sa ng keq	sɑ ŋ kəʔ
sa ng keq ngeq	sɑ ŋ kəʔ ŋəʔ
sa ng keq440	sɑ ŋ kəʔ44
sa ng paq keq	sɑ ŋ pɑʔ kəʔ
sa ng tshie keq	sɑ ŋ ʦʰiɪ kəʔ
sa ng ve keq	sɑ ŋ vᴇ kəʔ
sa sy gnie	sɑ sɿ ȵiɪ
sa sy gniq	sɑ sɿ ȵiəʔ
sa sy keq	sɑ sɿ kəʔ
sa sy keq ngeq	sɑ sɿ kəʔ ŋəʔ
sa sy keq440	sɑ sɿ kəʔ44
sa ten yan[52]30	sɑ tən ɦiã52
sa thi[52]3	sɑ tʰi52
sa tie tsy	sɑ tiɪ ʦɿ
sa tseu40	sɑ ʦøʏ4
sa zaon ho	sɑ zɑ̃ xo
sa zen kuaon	sɑ zən kuɑ̃
sa zy thi	sɑ zɿ tʰi
sa1	sɑ44
sa3	sɑ51
sa5	sɑ523
sa6	sɑ231
saeh tsyu ghou dou	saʔ ʦʮ ɦəu dəu
saeq	saʔ
saeq bo	saʔ bo
saeq gnie ia	saʔ ȵiɪ iɑ
saeq gnie5[523]	saʔ ȵiɪ523
saeq ka	saʔ kɑ
saeq kheq44	saʔ kʰəʔ44
saeq phe4[23]	saʔ pʰᴇ23
saeq poe ka	saʔ pø kɑ
saeq saeq nge tsin	saʔ saʔ ŋᴇ ʦin
saeq saeq44 boq boq34	saʔ saʔ44 boʔ boʔ34
saeq si	saʔ si
saeq tsaq	saʔ ʦɑʔ
saeq tshie tau4[23]0	saʔ ʦʰiɪ tæ23
saeq zo deu	saʔ zo døʏ
saeq43	saʔ43
saeq43 nge tsin23	saʔ43 ŋᴇ ʦin23
saeq7	saʔ43
saeq[43] boq[23]	saʔ43 boʔ23
sah gnin	sɑʔ ȵin
san bin loq thon4440	sã bin loʔ tʰoŋ444
san bin tse	sã bin ʦᴇ
san die	sã diɪ
san gniq40	sã ȵiəʔ4
san i shin	sã i ɕin
san i tshin	sã i ʦʰin
san mau dau	sã mæ dæ
san me deu	sã mᴇ døʏ
san sin chi440	sã sin ʨʰi44
san sy sin440	sã sɿ sin44
san thie40	sã tʰiɪ4
san tshau zoe sy	sã ʦʰæ zø sɿ
san tsie moe deu4440	sã ʦiɪ mø døʏ444
san tsin	sã ʦin
san1	sã44
san3	sã51
san3 weq[43]	sã51 ɦuəʔ43
san44 bin231	sã44 bin231
san44 de231	sã44 dᴇ231
san44 tin44	sã44 tin44
san44 tshaon44	sã44 ʦʰɑ̃44
saon	sɑ̃
saon chi[52]1	sɑ̃ ʨʰi52
saon ci dau440	sɑ̃ ʨi dæ44
saon fon40	sɑ̃ foŋ4
saon ghoe tsen440	sɑ̃ ɦø ʦən44
saon gnian doe tsy	sɑ̃ ȵiã dø ʦɿ
saon heu	sɑ̃ xøʏ
saon kaon	sɑ̃ kɑ̃
saon khua[52]1	sɑ̃ kʰuɑ52
saon koh tsy	sɑ̃ koʔ ʦɿ
saon kue	sɑ̃ kuᴇ
saon leq geq[52]10 daon231	sɑ̃ ləʔ gəʔ52 dɑ̃231
saon li zyu	sɑ̃ li zʮ
saon lou deu	sɑ̃ ləu døʏ
saon moe ngeq	sɑ̃ mø ŋəʔ
saon nge bi440	sɑ̃ ŋᴇ bi44
saon nge gnin	sɑ̃ ŋᴇ ȵin
saon ngou	sɑ̃ ŋəu
saon pau the	sɑ̃ pæ tʰᴇ
saon san tsy440	sɑ̃ sã ʦɿ44
saon sen fen	sɑ̃ sən fən
saon sin40	sɑ̃ sin4
saon tan	sɑ̃ tã
saon taon	sɑ̃ tɑ̃
saon tau	sɑ̃ tæ
saon tsen40	sɑ̃ ʦən4
saon tsy	sɑ̃ ʦɿ
saon yiq	sɑ̃ ɦiəʔ
saon zen zaon	sɑ̃ zən zɑ̃
saon zy40	sɑ̃ zɿ4
saon zyu gnin440	sɑ̃ zʮ ȵin44
saon zyu40	sɑ̃ zʮ4
saon1	sɑ̃44
saon3	sɑ̃51
saon44	sɑ̃44
saon5	sɑ̃523
saq sin5[523]	sɑʔ sin523
saq7	sɑʔ43
sau	sæ
sau baq deu[52]30	sæ bɑʔ døʏ52
sau hou	sæ xəu
sau hou a ten	sæ xəu ɑ tən
sau hue	sæ xuᴇ
sau kaeq tsiq	sæ kaʔ ʦiəʔ
sau laon	sæ lɑ̃
sau le le deu	sæ lᴇ lᴇ døʏ
sau lin jioe	sæ lin ʥiø
sau ma40	sæ mɑ4
sau maq	sæ mɑʔ
sau sau ciau[52]30	sæ sæ ʨiæ52
sau sau[52]3	sæ sæ52
sau shian40	sæ ɕiã4
sau siau tshe440	sæ siæ ʦʰᴇ44
sau tseu sin	sæ ʦøʏ sin
sau tseu40	sæ ʦøʏ4
sau ve sy vu4440	sæ vᴇ sɿ vu444
sau ve40	sæ vᴇ4
sau zen tsheq chie[52]340	sæ zən ʦʰəʔ ʨʰiɪ52
sau zen tsheq cie[52]340	sæ zən ʦʰəʔ ʨiɪ52
sau1	sæ44
sau3	sæ51
sau44	sæ44
sau5	sæ523
sau523	sæ523
se	sᴇ
se au au	sᴇ æ æ
se ban sy ieu	sᴇ bã sɿ iʏ
se baq ko	sᴇ bɑʔ ko
se chi	sᴇ ʨʰi
se ciaq gho440	sᴇ ʨiɑʔ ɦo44
se ciaq mau440	sᴇ ʨiɑʔ mæ44
se cioe lian ciaq	sᴇ ʨiø liã ʨiɑʔ
se ciu	sᴇ ʨy
se deu	sᴇ døʏ
se don	sᴇ doŋ
se fe lin	sᴇ fᴇ lin
se fe sy foq4440	sᴇ fᴇ sɿ foʔ444
se ghau	sᴇ ɦæ
se gheu mie	sᴇ ɦøʏ miɪ
se ghou	sᴇ ɦəu
se gnioe	sᴇ ȵiø
se gniq deu	sᴇ ȵiəʔ døʏ
se gniq lian deu	sᴇ ȵiəʔ liã døʏ
se ho mie	sᴇ xo miɪ
se iu fen	sᴇ y fən
se ka deu	sᴇ kɑ døʏ
se ke	sᴇ kᴇ
se ke syu440	sᴇ kᴇ sʮ44
se keq	sᴇ kəʔ
se keu	sᴇ køʏ
se khe ke	sᴇ kʰᴇ kᴇ
se koq khou440	sᴇ koʔ kʰəu44
se koq loq jieu4440	sᴇ koʔ loʔ ʥiʏ444
se koq tshaq440	sᴇ koʔ ʦʰɑʔ44
se kou taon	sᴇ kəu tɑ̃
se kou[52]3	sᴇ kəu52
se kuaon	sᴇ kuɑ̃
se kueq	sᴇ kuəʔ
se laon	sᴇ lɑ̃
se len tsho440	sᴇ lən ʦʰo44
se leu se ti	sᴇ løʏ sᴇ ti
se lie zyu	sᴇ liɪ zʮ
se mau	sᴇ mæ
se mie	sᴇ miɪ
se moq	sᴇ moʔ
se moq koq ghaon	sᴇ moʔ koʔ ɦɑ̃
se nge tsau	sᴇ ŋᴇ ʦæ
