wupin	ipa
ghoe	ɦø
ghoe2	ɦø223
ghoe6	ɦø231
ghoh	ɦoʔ
ghon	ɦoŋ
ghon2	ɦoŋ223
ghon223	ɦoŋ223
ghon23	ɦoŋ23
ghon230	ɦoŋ23
ghon[52]3	ɦoŋ52
ghoq	ɦoʔ
ghoq440	ɦoʔ44
ghoq8	ɦoʔ23
ghou	ɦəu
ghou2	ɦəu223
ghou223	ɦəu223
ghou23	ɦəu23
ghou230	ɦəu23
ghou40	ɦəu4
ghou440	ɦəu44
ghou6	ɦəu231
ghou[52]30	ɦəu52
ghuaon	ɦuɑ̃
ghue	ɦuᴇ
ghue6	ɦuᴇ231
ghueh	ɦuəʔ
ghuen	ɦuən
ghuoe	ɦuø
gni	ȵi
gni2	ȵi223
gni223	ȵi223
gni23	ȵi23
gni231	ȵi231
gni2[51]	ȵi51
gni3	ȵi51
gni340	ȵi34
gni40	ȵi4
gni440	ȵi44
gni5[523]	ȵi523
gni6	ȵi231
gnia	ȵiɑ
gnia2	ȵiɑ223
gnia6	ȵiɑ231
gniaeh	ȵiaʔ
gniaeq	ȵiaʔ
gniah	ȵiɑʔ
gnian	ȵiã
gnian1	ȵiã44
gnian2	ȵiã223
gnian223	ȵiã223
gnian23	ȵiã23
gnian230	ȵiã23
gnian231	ȵiã231
gnian3	ȵiã51
gnian40	ȵiã4
gnian440	ȵiã44
gnian6	ȵiã231
gnian[523]40	ȵiã523
gnian[52]1	ȵiã52
gniaq	ȵiɑʔ
gniaq8	ȵiɑʔ23
gniau	ȵiæ
gniau2	ȵiæ223
gniau3	ȵiæ51
gniau440	ȵiæ44
gniau6	ȵiæ231
gnie	ȵiɪ
gnie1	ȵiɪ44
gnie2	ȵiɪ223
gnie23	ȵiɪ23
gnie230	ȵiɪ23
gnie231	ȵiɪ231
gnie3	ȵiɪ51
gnie40	ȵiɪ4
gnie4440	ȵiɪ444
gnie51	ȵiɪ51
gnie5[523]	ȵiɪ523
gnie6	ȵiɪ231
gnie[23]1	ȵiɪ23
gnieu	ȵiʏ
gnieu2	ȵiʏ223
gnieu23	ȵiʏ23
gnieu40	ȵiʏ4
gnieu6	ȵiʏ231
gnieu[52]3	ȵiʏ52
gnih	ȵiəʔ
gnin	ȵin
gnin2	ȵin223
gnin223	ȵin223
gnin23	ȵin23
gnin230	ȵin23
gnin2[51]	ȵin51
gnin2[51]0	ȵin51
gnin440	ȵin44
gnin4[23]	ȵin23
gnin4[23]0	ȵin23
gnin6	ȵin231
gnin[52]3	ȵin52
gnin[52]30	ȵin52
gnioe	ȵiø
gnioe1	ȵiø44
gnioe2	ȵiø223
gnioe231	ȵiø231
gnioe6	ȵiø231
gnioh	ȵioʔ
gnion	ȵioŋ
gnion2	ȵioŋ223
gnioq	ȵioʔ
gnioq23	ȵioʔ23
gnioq230	ȵioʔ23
gnioq2[51]0	ȵioʔ51
gnioq34	ȵioʔ34
gnioq40	ȵioʔ4
gnioq44	ȵioʔ44
gnioq5[52]3	ȵioʔ52
gnioq7	ȵioʔ43
gnioq8	ȵioʔ23
gnioq[23]	ȵioʔ23
gnioq[52]3	ȵioʔ52
gniq	ȵiəʔ
gniq23	ȵiəʔ23
gniq230	ȵiəʔ23
gniq340	ȵiəʔ34
gniq40	ȵiəʔ4
gniq4[23]0	ȵiəʔ23
gniq8	ȵiəʔ23
gniq[23]	ȵiəʔ23
gniq[23]10	ȵiəʔ23
gniq[52]3	ȵiəʔ52
gniu	ȵy
gniu2	ȵy223
gniu3	ȵy51
gniu6	ȵy231
gnou2	ȵəu223
gon	goŋ
gon23	goŋ23
gon230	goŋ23
gon6	goŋ231
goq	goʔ
goq8	goʔ23
gou	gəu
gou230	gəu23
gou231	gəu231
gou340	gəu34
gou6	gəu231
gua6	guɑ231
guaon2	guɑ̃223
gue	guᴇ
gue2	guᴇ223
gue2[51]10	guᴇ51
gue5[51]0	guᴇ51
gue6	guᴇ231
ha	xɑ
ha1	xɑ44
ha230	xɑ23
ha3	xɑ51
ha44	xɑ44
ha51	xɑ51
ha[52]3	xɑ52
haeq	xaʔ
haeq43	xaʔ43
haeq7	xaʔ43
han	xã
han1	xã44
han2	xã223
han23	xã23
han2[51]	xã51
haon1	xɑ̃44
haq	xɑʔ
haq7	xɑʔ43
hau	xæ
hau1	xæ44
hau23	xæ23
hau3	xæ51
hau40	xæ4
hau44	xæ44
hau5	xæ523
hau51	xæ51
hau[23]110	xæ23
he	xᴇ
he1	xᴇ44
he230	xᴇ23
he2[51]	xᴇ51
he3	xᴇ51
he44	xᴇ44
he440	xᴇ44
he5	xᴇ523
he51	xᴇ51
he[52]30	xᴇ52
heh	xəʔ
hen	xən
hen1	xən44
hen3	xən51
hen52	xən52
heq	xəʔ
heq23	xəʔ23
heq43	xəʔ43
heq7	xəʔ43
heu	xøʏ
heu3	xøʏ51
heu44	xøʏ44
heu5	xøʏ523
heu523	xøʏ523
hin	xin
ho	xo
ho1	xo44
ho23	xo23
ho230	xo23
ho2[51]0	xo51
ho40	xo4
ho44	xo44
ho4[23]0	xo23
ho5	xo523
ho523	xo523
ho[23]10	xo23
hoe	xø
hoe1	xø44
hoe5	xø523
hoh43	xoʔ43
hon	xoŋ
hon1	xoŋ44
hon44	xoŋ44
hon5	xoŋ523
hoq	xoʔ
hoq23	xoʔ23
hoq43	xoʔ43
hoq7	xoʔ43
hou	xəu
hou1	xəu44
hou23	xəu23
hou230	xəu23
hou2[51]	xəu51
hou3	xəu51
hou340	xəu34
hou40	xəu4
hou440	xəu44
hou4440	xəu444
hou4[23]0	xəu23
hou5	xəu523
hou5[523]	xəu523
hou[52]1	xəu52
hua	xuɑ
hua1	xuɑ44
hua44	xuɑ44
huaeq	xuaʔ
huaeq230	xuaʔ23
huaeq43	xuaʔ43
huaeq7	xuaʔ43
huaeq[43]	xuaʔ43
huan	xuã
huaon	xuɑ̃
huaon1	xuɑ̃44
huaon23	xuɑ̃23
huaon3	xuɑ̃51
huaon44	xuɑ̃44
huaon5	xuɑ̃523
huaon[52]3	xuɑ̃52
hue	xuᴇ
hue1	xuᴇ44
hue230	xuᴇ23
hue2[51]	xuᴇ51
hue3	xuᴇ51
hue440	xuᴇ44
hue5	xuᴇ523
hue[52]3	xuᴇ52
huen	xuən
huen1	xuən44
huen23	xuən23
huen2[51]	xuən51
huen4[23]	xuən23
huen5	xuən523
huen[52]3	xuən52
hueq	xuəʔ
hueq7	xuəʔ43
hueq[52]30	xuəʔ52
huoe	xuø
huoe1	xuø44
huoe3	xuø51
i	i
i1	i44
i23	i23
i2340	i234
i3	i51
i40	i4
i44	i44
i5	i523
i[52]30	i52
ia	iɑ
ia1	iɑ44
ia230	iɑ23
ia3	iɑ51
ia440	iɑ44
ia5	iɑ523
ia[52]30	iɑ52
iaeq7	iaʔ43
ian	iã
ian1	iã44
iaq	iɑʔ
iaq7	iɑʔ43
iau	iæ
iau1	iæ44
iau3	iæ51
iau40	iæ4
iau44	iæ44
iau440	iæ44
iau5	iæ523
iau523	iæ523
iau[52]1	iæ52
ie	iɪ
ie1	iɪ44
ie3	iɪ51
ie40	iɪ4
ie44	iɪ44
ie4[23]0	iɪ23
ie5	iɪ523
ie51	iɪ51
ie523	iɪ523
ie[23]10	iɪ23
ie[52]3	iɪ52
ieu	iʏ
ieu1	iʏ44
ieu3	iʏ51
ih	iəʔ
in	in
in1	in44
in23	in23
in3	in51
in40	in4
in44	in44
in4440	in444
in5	in523
in[23]110	in23
io1	io44
ioe	iø
ioe1	iø44
ioe5	iø523
ion	ioŋ
ion1	ioŋ44
ion3	ioŋ51
ioq7	ioʔ43
iq	iəʔ
iq23	iəʔ23
iq230	iəʔ23
iq34	iəʔ34
iq440	iəʔ44
iq4[23]0	iəʔ23
iq7	iəʔ43
iq[43]	iəʔ43
iu	y
iu1	y44
iu3	y51
iu5	y523
iun	yn
iun3	yn51
iuq7	yəʔ43
ji	ʥi
ji2	ʥi223
ji223	ʥi223
ji23	ʥi23
ji230	ʥi23
ji6	ʥi231
ji[52]3	ʥi52
jia2	ʥiɑ223
jian	ʥiã
jian2	ʥiã223
jian6	ʥiã231
jiau	ʥiæ
jiau2	ʥiæ223
jiau223	ʥiæ223
jiau40	ʥiæ4
jiau6	ʥiæ231
jie	ʥiɪ
jie2	ʥiɪ223
jie223	ʥiɪ223
jie23	ʥiɪ23
jie230	ʥiɪ23
jie231	ʥiɪ231
jie40	ʥiɪ4
jie6	ʥiɪ231
jieu	ʥiʏ
jieu2	ʥiʏ223
jieu23	ʥiʏ23
jieu4440	ʥiʏ444
jieu5[51]	ʥiʏ51
jieu6	ʥiʏ231
jieu[52]110	ʥiʏ52
jin	ʥin
jin2	ʥin223
jin223	ʥin223
jin231	ʥin231
jin232	ʥin232
jin2[51]0	ʥin51
jin6	ʥin231
jin[52]30	ʥin52
jioe	ʥiø
jioe2	ʥiø223
jioe223	ʥiø223
jioe23	ʥiø23
jioe40	ʥiø4
jioe6	ʥiø231
jion	ʥioŋ
jion2	ʥioŋ223
jion223	ʥioŋ223
jioq	ʥioʔ
jioq44	ʥioʔ44
jioq8	ʥioʔ23
jiq	ʥiəʔ
jiq34	ʥiəʔ34
jiq8	ʥiəʔ23
jiq[23]	ʥiəʔ23
jiu	ʥy
jiu2	ʥy223
jiu231	ʥy231
jiu40	ʥy4
jiu6	ʥy231
jiun	ʥyn
jiun2	ʥyn223
jiun223	ʥyn223
jiun6	ʥyn231
jiuq	ʥyəʔ
jiuq8	ʥyəʔ23
ka	kɑ
ka1	kɑ44
ka23	kɑ23
ka230	kɑ23
ka2340	kɑ234
ka2[51]0	kɑ51
ka3	kɑ51
ka40	kɑ4
ka44	kɑ44
ka440	kɑ44
ka4[23]40	kɑ23
ka5	kɑ523
ka51	kɑ51
ka52	kɑ52
ka523	kɑ523
ka5[51]	kɑ51
ka[52]3	kɑ52
kaeh	kaʔ
kaeq	kaʔ
kaeq23	kaʔ23
kaeq230	kaʔ23
kaeq40	kaʔ4
kaeq44	kaʔ44
kaeq7	kaʔ43
kaeq[52]3	kaʔ52
kaeq[52]340	kaʔ52
kan	kã
kan1	kã44
kan23	kã23
kan2[51]	kã51
kan3	kã51
kan40	kã4
kan44	kã44
kan45	kã45
kan4[23]	kã23
kaon	kɑ̃
kaon1	kɑ̃44
kaon23	kɑ̃23
kaon3	kɑ̃51
kaon40	kɑ̃4
kaon44	kɑ̃44
kaon4440	kɑ̃444
kaon4[23]	kɑ̃23
kaon5	kɑ̃523
kaon51	kɑ̃51
kaon523	kɑ̃523
kaon[23]1	kɑ̃23
kaon[52]3	kɑ̃52
kaq	kɑʔ
kaq7	kɑʔ43
kau	kæ
kau1	kæ44
kau23	kæ23
kau230	kæ23
kau2340	kæ234
kau2[51]	kæ51
kau3	kæ51
kau40	kæ4
kau44	kæ44
kau440	kæ44
kau4440	kæ444
kau5	kæ523
kau[52]1	kæ52
kau[52]30	kæ52
ke	kᴇ
ke1	kᴇ44
ke23	kᴇ23
ke230	kᴇ23
ke2340	kᴇ234
ke3	kᴇ51
ke40	kᴇ4
ke44	kᴇ44
ke440	kᴇ44
ke4[23]0	kᴇ23
ke5	kᴇ523
ke51	kᴇ51
ke52	kᴇ52
keaq	?
keh	kəʔ
ken	kən
ken1	kən44
ken3	kən51
ken44	kən44
ken4[23]	kən23
ken5	kən523
ken[52]3	kən52
keq	kəʔ
keq23	kəʔ23
keq230	kəʔ23
keq2340	kəʔ234
keq2[51]0	kəʔ51
keq34	kəʔ34
keq340	kəʔ34
keq40	kəʔ4
keq43	kəʔ43
keq44	kəʔ44
keq440	kəʔ44
keq4420	kəʔ442
keq4440	kəʔ444
keq5[23]	kəʔ23
keq5[51]0	kəʔ51
keq5[523]	kəʔ523
keq7	kəʔ43
keq[231]	kəʔ231
keq[23]1	kəʔ23
keq[23]10	kəʔ23
keq[23]110	kəʔ23
keq[52]1	kəʔ52
keq[52]3	kəʔ52
keq[52]340	kəʔ52
